,Zone,Utilisation,Conformité,NombreUtilisations,NombreBatiments,NombreEtages,SurfacePlancherTotal,ConsoSite/S(kBtu/sf),AgeBatiment
115,Nord,Universitaire,Compliant,1,1.0,4,139600,32.79999924,15
117,Centre,Autre,Compliant,2,3.0,6,250981,60.5,45
119,Centre,Autre,Compliant,1,1.0,11,299070,261.2999878,12
120,Sud,Bureau,Compliant,3,1.0,3,64015,60.0,9
121,Nord,Supermarché,Compliant,2,1.0,1,530039,52.29999924,65
122,Nord,Autre,Compliant,1,1.0,3,54224,154.5,52
123,Nord,Supermarché,Compliant,1,1.0,4,124342,71.90000153,51
124,Nord,Médical,Compliant,1,6.0,10,879000,288.7999878,63
125,Nord,Autre,Compliant,3,1.0,3,55442,85.59999847,20
127,Centre,Industriel,Compliant,1,1.0,5,84870,16.20000076,106
131,Sud,Industriel,Compliant,1,1.0,4,114297,18.39999962,112
134,Sud,Industriel,Compliant,1,1.0,1,234144,28.79999924,79
135,Sud,Supermarché,Compliant,1,1.0,1,64984,45.0,50
136,Sud,Supermarché,Compliant,1,1.0,1,67745,136.1999969,51
140,Nord,Autre,Compliant,1,1.0,3,56000,33.09999847,43
142,Sud,Industriel,Compliant,1,1.0,2,52088,26.39999962,47
144,Centre,Détente,Compliant,3,1.0,5,123920,75.59999847,18
145,Centre,Autre,Compliant,1,1.0,1,50000,175.6000061,116
146,Centre,Industriel,Compliant,4,1.0,2,50292,8.0,90
147,Centre,Détente,Compliant,1,1.0,7,207656,78.90000153,18
149,Nord,Bureau,Compliant,5,1.0,2,91130,100.5,59
151,Nord,Détente,Compliant,1,1.0,4,64893,95.5,48
154,Centre,Bureau,Compliant,3,1.0,3,44558,37.59999847,116
155,Centre,Autre,Compliant,2,1.0,6,1585960,37.70000076,17
156,Sud,Supermarché,Compliant,4,1.0,2,179161,52.20000076,92
157,Sud,Industriel,Compliant,4,1.0,2,58640,55.90000153,51
158,Centre,Autre,Compliant,1,1.0,3,1172127,50.09999847,17
159,Centre,Détente,Compliant,3,1.0,9,168449,88.19999695,11
160,Sud,Industriel,Compliant,1,0.0,4,79600,30.29999924,100
