,Zone,Utilisation,Conformité,NombreUtilisations,NombreBatiments,NombreEtages,SurfacePlancherTotal,ConsoSite/S(kBtu/sf),AgeBatiment
458,Centre,Autre,Compliant,4,1.0,3,67755,29.10000038,110
459,Centre,Autre,Compliant,3,1.0,3,56700,41.79999924,106
460,Centre,Industriel,Compliant,2,1.0,1,82852,26.29999924,94
461,Sud,Autre,Compliant,3,1.0,2,76442,52.29999924,63
462,Sud,Supermarché,Compliant,2,1.0,2,92792,31.89999962,54
463,Sud,Autre,Compliant,1,2.0,2,125519,15.69999981,75
464,Sud,Bureau,Compliant,1,1.0,4,129000,41.70000076,116
465,Sud,Industriel,Compliant,1,1.0,1,78814,10.89999962,62
466,Centre,Bureau,Compliant,4,1.0,4,58970,30.39999962,112
467,Centre,Supermarché,Compliant,3,1.0,6,75600,43.70000076,106
468,Centre,Supermarché,Compliant,4,1.0,4,56270,18.79999924,109
469,Centre,Bureau,Compliant,2,1.0,4,66842,104.5999985,112
470,Centre,Bureau,Compliant,2,1.0,6,75288,44.09999847,107
471,Centre,Bureau,Compliant,2,1.0,7,184322,52.70000076,112
472,Centre,Bureau,Compliant,2,1.0,7,287853,89.40000153,7
473,Centre,Bureau,Compliant,1,1.0,2,64512,94.69999695,102
474,Sud,Autre,Compliant,5,1.0,6,286000,366.3999939,7
475,Sud,Industriel,Compliant,1,1.0,7,144050,27.29999924,90
476,Sud,Bureau,Compliant,1,1.0,3,60592,83.59999847,86
477,Sud,Bureau,Compliant,3,0.0,6,1380959,49.29999924,104
478,Sud,Supermarché,Compliant,1,1.0,1,107930,67.0,23
479,Sud,Industriel,Compliant,1,1.0,1,99084,16.29999924,90
480,Sud,Supermarché,Compliant,1,1.0,1,72719,35.5,63
481,Centre,Bureau,Compliant,1,0.0,4,76624,36.20000076,86
482,Nord,Bureau,Compliant,3,1.0,6,91706,150.3000031,15
483,Centre,Médical,Compliant,3,1.0,5,129093,203.1999969,8
484,Sud,Bureau,Compliant,2,1.0,5,138106,70.40000153,25
485,Sud,Supermarché,Compliant,1,1.0,1,56572,42.59999847,43
487,Centre,Médical,Compliant,1,1.0,0,225982,102.6999969,12
488,Centre,Autre,Compliant,7,0.0,0,516407,76.30000305,10
489,Centre,Bureau,Compliant,3,1.0,11,312512,82.40000153,16
490,Centre,Bureau,Compliant,5,1.0,42,1592914,45.29999924,11
491,Centre,Bureau,Compliant,3,1.0,6,97720,33.70000076,90
492,Centre,Médical,Compliant,1,1.0,10,422503,87.40000153,31
493,Centre,Médical,Compliant,1,1.0,7,94500,50.90000153,29
494,Sud,Supermarché,Compliant,1,0.0,1,94713,49.40000153,11
495,Centre,Médical,Compliant,2,1.0,9,302902,73.30000305,8
496,Centre,Médical,Compliant,2,1.0,19,319911,88.30000305,43
497,Centre,Bureau,Compliant,2,1.0,6,205521,56.70000076,116
498,Centre,Bureau,Compliant,2,1.0,6,56700,54.29999924,116
499,Centre,Bureau,Compliant,1,1.0,4,72000,37.90000153,91
500,Centre,Bureau,Compliant,2,1.0,4,191146,49.5,16
501,Sud,Autre,Compliant,3,1.0,3,68763,180.6000061,15
502,Sud,Autre,Compliant,2,3.0,1,102133,192.8999939,22
504,Centre,Bureau,Compliant,3,1.0,14,362046,66.59999847,8
506,Centre,Autre,Compliant,1,3.0,2,81336,160.8000031,22
507,Centre,Bureau,Compliant,2,1.0,23,538933,43.70000076,15
509,Centre,Autre,Compliant,2,1.0,6,275982,66.40000153,33
510,Centre,Bureau,Compliant,1,1.0,5,98668,44.5,34
511,Sud,Bureau,Compliant,4,1.0,1,158931,67.69999695,9
512,Nord,Bureau,Compliant,1,1.0,1,105100,210.1000061,38
514,Centre,Supermarché,Compliant,1,1.0,1,50660,52.5,38
515,Centre,Bureau,Compliant,1,1.0,2,61929,55.20000076,79
516,Centre,Bureau,Compliant,3,1.0,4,165111,231.3999939,16
517,Centre,Bureau,Non-Compliant,3,1.0,4,129551,311.7000122,16
518,Centre,Bureau,Compliant,1,1.0,3,20565,39.0,91
519,Centre,Bureau,Compliant,2,1.0,5,159937,73.80000305,16
520,Centre,Bureau,Compliant,3,1.0,5,183964,108.3000031,8
521,Centre,Bureau,Compliant,2,1.0,5,208210,50.09999847,30
522,Centre,Bureau,Compliant,3,1.0,7,277486,65.90000153,30
523,Centre,Bureau,Compliant,6,1.0,3,187130,52.59999847,23
524,Centre,Bureau,Compliant,2,1.0,5,251044,123.6999969,16
525,Centre,Industriel,Compliant,1,1.0,5,154330,13.19999981,104
526,Centre,Bureau,Compliant,6,1.0,6,108245,45.79999924,98
527,Centre,Bureau,Compliant,3,1.0,6,167860,52.0,111
528,Centre,Bureau,Compliant,2,1.0,6,112560,51.29999924,106
529,Centre,Supermarché,Compliant,1,1.0,6,86204,43.5,106
530,Sud,Industriel,Compliant,3,1.0,2,145158,52.29999924,31
531,Sud,Bureau,Compliant,2,1.0,2,112896,92.90000153,65
532,Sud,Supermarché,Compliant,2,1.0,1,110613,9.199999809,56
533,Sud,Industriel,Compliant,2,1.0,4,149881,16.10000038,65
534,Sud,Industriel,Compliant,1,1.0,3,98220,50.0,65
535,Sud,Supermarché,Compliant,3,1.0,1,84420,35.0,46
536,Sud,Supermarché,Compliant,2,1.0,1,73335,70.90000153,55
537,Sud,Supermarché,Compliant,3,1.0,2,56876,31.5,88
538,Sud,Industriel,Compliant,1,1.0,2,61200,80.30000305,85
539,Sud,Supermarché,Compliant,1,1.0,1,111908,14.30000019,29
540,Centre,Autre,Compliant,2,3.0,2,63644,104.4000015,30
541,Centre,Autre,Compliant,6,3.0,2,108753,33.5,86
542,Nord,Supermarché,Compliant,2,1.0,1,141890,100.0,46
543,Nord,Bureau,Compliant,1,1.0,4,92092,68.69999695,15
544,Nord,Industriel,Compliant,3,0.0,3,56259,41.70000076,42
545,Nord,Autre,Compliant,2,1.0,6,143439,214.3999939,10
546,Nord,Bureau,Compliant,3,1.0,4,202623,79.5,8
547,Nord,Bureau,Compliant,1,1.0,2,77174,71.0,16
548,Centre,Bureau,Compliant,3,1.0,5,110524,63.90000153,18
549,Centre,Autre,Compliant,4,1.0,5,287224,139.8999939,8
550,Centre,Médical,Compliant,1,1.0,4,115748,374.2000122,17
551,Centre,Bureau,Compliant,2,1.0,7,241875,53.09999847,16
552,Centre,Bureau,Compliant,2,1.0,5,102930,53.29999924,42
553,Centre,Bureau,Compliant,3,1.0,3,76893,113.3000031,114
554,Centre,Bureau,Compliant,2,1.0,8,150000,73.80000305,41
555,Centre,Bureau,Compliant,1,1.0,7,274362,60.29999924,63
556,Centre,Bureau,Compliant,2,1.0,15,378002,65.69999695,33
557,Centre,Bureau,Compliant,3,1.0,11,169020,65.59999847,53
558,Centre,Autre,Compliant,2,1.0,33,429405,639.7000122,35
559,Centre,Bureau,Compliant,2,1.0,76,1952220,55.29999924,31
560,Centre,Bureau,Compliant,3,1.0,19,383515,47.90000153,35
561,Centre,Médical,Compliant,3,1.0,18,363934,72.90000153,91
562,Centre,Supermarché,Compliant,1,1.0,4,78920,105.1999969,87
564,Centre,Autre,Compliant,4,1.0,0,947987,62.29999924,17
565,Centre,Autre,Compliant,5,1.0,4,55520,66.40000153,108
566,Centre,Bureau,Compliant,2,1.0,10,132998,27.29999924,108
567,Centre,Supermarché,Compliant,1,1.0,3,83118,54.29999924,76
568,Centre,Supermarché,Compliant,1,1.0,3,77555,106.0999985,92
569,Centre,Bureau,Compliant,2,1.0,6,51218,55.5,107
570,Centre,Bureau,Compliant,4,1.0,29,489182,93.80000305,46
571,Centre,Bureau,Compliant,3,1.0,27,216571,86.0,87
572,Centre,Bureau,Compliant,2,1.0,13,189175,115.8000031,95
573,Centre,Bureau,Compliant,2,1.0,13,293803,117.4000015,18
574,Centre,Bureau,Compliant,3,1.0,7,122356,41.09999847,106
575,Centre,Bureau,Compliant,1,1.0,3,52298,39.20000076,95
576,Centre,Bureau,Compliant,4,1.0,17,116640,70.30000305,105
577,Centre,Bureau,Compliant,5,1.0,42,1249055,38.0,35
579,Centre,Médical,Compliant,2,1.0,5,188339,104.0999985,28
580,Centre,Universitaire,Compliant,2,1.0,2,60122,11.5,100
581,Centre,Bureau,Compliant,2,1.0,6,95000,48.0,106
582,Centre,Bureau,Compliant,1,1.0,9,224857,74.5,45
583,Centre,Bureau,Compliant,2,1.0,8,446261,39.5,18
584,Centre,Autre,Compliant,1,1.0,2,58492,27.29999924,77
585,Sud,Bureau,Compliant,2,1.0,6,62370,72.69999695,109
586,Sud,Industriel,Compliant,2,1.0,1,73296,30.29999924,56
587,Sud,Autre,Compliant,2,1.0,4,99122,146.0,72
588,Sud,Autre,Compliant,3,1.0,1,66133,82.40000153,31
589,Sud,Industriel,Compliant,4,1.0,2,115668,30.79999924,64
590,Sud,Autre,Compliant,1,1.0,1,141686,43.79999924,46
591,Sud,Bureau,Compliant,2,1.0,1,93610,61.29999924,66
592,Sud,Bureau,Compliant,2,1.0,2,156188,48.20000076,43
593,Sud,Industriel,Compliant,1,1.0,1,115620,34.29999924,50
594,Sud,Bureau,Compliant,2,1.0,5,238148,43.90000153,41
595,Sud,Supermarché,Compliant,1,1.0,1,71718,2.099999905,47
596,Sud,Industriel,Compliant,2,1.0,1,55450,78.40000153,47
597,Sud,Supermarché,Compliant,1,1.0,1,54880,50.20000076,37
598,Sud,Supermarché,Compliant,2,1.0,1,102500,73.40000153,24
599,Nord,Autre,Compliant,4,1.0,6,361398,108.5,14
600,Sud,Supermarché,Compliant,1,1.0,1,50785,271.7000122,53
601,Sud,Bureau,Compliant,1,1.0,3,85126,465.5,87
602,Nord,Autre,Compliant,4,1.0,5,303255,36.5,16
603,Sud,Supermarché,Compliant,3,1.0,1,411584,37.0,30
604,Centre,Autre,Compliant,3,1.0,4,73320,20.0,114
605,Centre,Bureau,Compliant,2,1.0,4,242686,65.0,8
606,Centre,Bureau,Compliant,1,1.0,6,95760,56.29999924,116
607,Sud,Industriel,Compliant,1,1.0,1,179413,19.39999962,70
608,Sud,Industriel,Compliant,4,0.0,1,65288,8.600000381,99
609,Sud,Industriel,Compliant,2,1.0,1,170632,3.5,50
610,Centre,Bureau,Compliant,2,1.0,10,381511,51.90000153,22
611,Centre,Bureau,Compliant,2,1.0,17,413264,46.09999847,7
612,Nord,Autre,Compliant,4,1.0,6,122400,68.30000305,7
613,Nord,Supermarché,Compliant,4,1.0,2,93803,58.79999924,60
615,Sud,Industriel,Compliant,2,1.0,2,123000,21.89999962,50
616,Centre,Médical,Compliant,1,1.0,5,275130,55.90000153,13
617,Sud,Industriel,Compliant,2,1.0,1,60448,17.39999962,38
618,Centre,Médical,Compliant,2,7.0,14,1765970,177.8999939,22
619,Centre,Autre,Compliant,1,3.0,4,62600,51.79999924,88
620,Centre,Autre,Compliant,3,1.0,4,77412,58.20000076,12
621,Centre,Médical,Compliant,2,1.0,5,289419,87.09999847,26
622,Nord,Autre,Compliant,1,1.0,5,90266,88.80000305,29
623,Nord,Industriel,Compliant,1,1.0,4,87332,13.30000019,12
624,Centre,Détente,Compliant,2,1.0,6,150545,133.3999939,13
625,Centre,Autre,Compliant,2,1.0,5,141718,136.3000031,17
626,Centre,Détente,Compliant,4,1.0,5,111856,98.40000153,8
627,Centre,Industriel,Compliant,1,1.0,4,132828,8.199999809,28
628,Sud,Industriel,Compliant,2,1.0,1,70400,198.3000031,46
629,Nord,Supermarché,Compliant,1,1.0,1,101830,81.90000153,21
631,Centre,Universitaire,Compliant,1,2.0,4,114000,66.40000153,42
633,Sud,Industriel,Compliant,2,1.0,1,152365,6.800000191,51
634,Centre,Médical,Compliant,2,1.0,6,320946,78.90000153,106
635,Sud,Supermarché,Compliant,1,1.0,1,74178,72.80000305,58
636,Nord,Industriel,Compliant,1,1.0,4,80360,8.5,29
638,Centre,Supermarché,Compliant,1,1.0,3,119190,217.8000031,20
639,Centre,Autre,Compliant,2,1.0,2,51856,37.40000153,8
640,Sud,Autre,Compliant,4,1.0,3,66138,139.8000031,95
641,Nord,Bureau,Compliant,1,1.0,3,113944,273.2999878,56
644,Nord,Autre,Compliant,1,1.0,3,93079,21.89999962,16
651,Nord,Autre,Compliant,1,1.0,2,22220,35.0,59
656,Sud,Autre,Compliant,3,1.0,1,44700,42.70000076,54
657,Sud,Industriel,Compliant,1,1.0,1,44100,40.5,40
658,Sud,Supermarché,Compliant,1,1.0,1,27800,44.0,51
660,Sud,Industriel,Compliant,1,1.0,1,46340,55.29999924,15
663,Centre,Bureau,Compliant,1,1.0,3,38460,50.70000076,106
669,Nord,Autre,Compliant,1,1.0,2,21022,45.0,94
680,Sud,Supermarché,Compliant,1,1.0,1,48001,44.70000076,49
681,Sud,Industriel,Compliant,2,1.0,1,26380,19.29999924,37
682,Sud,Industriel,Compliant,2,1.0,1,37351,65.40000153,47
683,Sud,Industriel,Compliant,1,1.0,1,30375,11.39999962,35
684,Sud,Industriel,Compliant,2,1.0,1,30004,12.60000038,37
687,Nord,Autre,Compliant,4,1.0,3,39971,274.2000122,88
689,Nord,Autre,Compliant,1,1.0,2,33589,15.19999981,102
692,Nord,Bureau,Compliant,1,1.0,3,43500,74.0,37
693,Nord,Bureau,Compliant,1,1.0,2,28492,66.59999847,38
694,Nord,Bureau,Compliant,6,1.0,3,22325,62.79999924,53
695,Nord,Détente,Compliant,2,1.0,3,22719,59.79999924,39
697,Centre,Médical,Compliant,1,1.0,2,44588,105.0999985,70
715,Centre,Supermarché,Compliant,1,1.0,2,147545,46.0,99
716,Nord,Autre,Compliant,2,1.0,2,21462,42.90000153,93
726,Nord,Autre,Compliant,1,1.0,2,28072,57.20000076,99
730,Centre,Détente,Compliant,1,1.0,2,31020,160.1999969,61
731,Centre,Bureau,Compliant,2,1.0,2,21600,75.80000305,99
732,Centre,Bureau,Compliant,2,1.0,5,61825,104.0999985,42
735,Centre,Bureau,Compliant,1,1.0,3,64630,21.79999924,74
736,Centre,Autre,Compliant,1,1.0,2,20920,49.79999924,68
742,Sud,Autre,Compliant,1,1.0,2,22128,27.5,90
745,Nord,Supermarché,Compliant,1,1.0,1,48139,21.5,48
750,Sud,Autre,Compliant,2,1.0,2,21364,45.20000076,67
768,Centre,Universitaire,Compliant,1,1.0,2,28923,15.30000019,24
770,Centre,Universitaire,Compliant,1,1.0,3,21600,15.0,88
773,Nord,Supermarché,Compliant,1,1.0,1,25735,45.5,20
775,Nord,Supermarché,Compliant,2,1.0,2,25862,185.6999969,60
776,Nord,Supermarché,Compliant,2,1.0,2,49965,67.59999847,13
780,Centre,Bureau,Compliant,1,1.0,2,20028,25.60000038,87
782,Centre,Bureau,Compliant,2,1.0,7,23622,19.39999962,116
783,Centre,Bureau,Compliant,2,1.0,3,23563,37.5,114
784,Centre,Autre,Compliant,3,1.0,3,28600,40.90000153,113
785,Centre,Autre,Compliant,3,1.0,2,38539,83.59999847,38
786,Centre,Bureau,Compliant,1,1.0,5,26840,68.5,110
787,Centre,Supermarché,Compliant,2,1.0,2,46800,26.60000038,110
788,Centre,Bureau,Compliant,2,1.0,3,63990,53.0,37
789,Centre,Bureau,Compliant,3,1.0,3,28800,38.40000153,108
792,Centre,Bureau,Compliant,2,1.0,3,33552,63.90000153,62
793,Centre,Supermarché,Compliant,1,1.0,2,26270,59.40000153,85
794,Centre,Bureau,Compliant,2,1.0,3,57620,47.90000153,90
796,Centre,Autre,Compliant,3,1.0,2,28696,20.20000076,62
797,Centre,Détente,Compliant,1,1.0,5,57800,42.29999924,26
805,Centre,Autre,Compliant,1,1.0,2,31890,59.59999847,61
806,Centre,Bureau,Compliant,2,1.0,2,44098,55.59999847,91
807,Centre,Détente,Compliant,1,1.0,3,22381,157.8999939,93
809,Centre,Médical,Compliant,2,0.0,4,49249,696.7000122,90
810,Centre,Supermarché,Compliant,2,1.0,1,24825,18.0,91
815,Centre,Médical,Compliant,1,1.0,4,26670,58.20000076,64
819,Centre,Autre,Compliant,1,1.0,2,37740,79.5,94
828,Centre,Bureau,Compliant,3,1.0,1,23752,44.90000153,51
829,Centre,Détente,Compliant,1,1.0,4,44416,50.70000076,49
830,Centre,Autre,Compliant,4,1.0,2,33792,241.1000061,10
847,Nord,Autre,Compliant,1,1.0,2,45991,24.89999962,88
858,Nord,Universitaire,Compliant,1,1.0,3,21499,28.10000038,95
859,Nord,Bureau,Compliant,1,1.0,2,20384,71.59999847,27
861,Nord,Supermarché,Compliant,4,1.0,2,39265,133.3999939,60
862,Nord,Supermarché,Compliant,2,1.0,2,54284,124.0,60
863,Nord,Supermarché,Compliant,2,1.0,1,23409,108.6999969,60
864,Nord,Supermarché,Compliant,3,1.0,1,63153,73.5,19
867,Nord,Détente,Compliant,1,2.0,2,24100,51.40000153,55
868,Centre,Détente,Compliant,2,1.0,3,33600,133.1999969,93
873,Centre,Autre,Compliant,2,1.0,4,32356,57.40000153,89
874,Centre,Détente,Compliant,1,1.0,7,61180,65.30000305,56
875,Centre,Bureau,Compliant,2,1.0,5,43506,106.1999969,38
882,Nord,Autre,Compliant,1,1.0,2,23931,20.70000076,106
883,Nord,Autre,Compliant,1,1.0,2,21393,39.5,68
887,Sud,Autre,Compliant,3,1.0,2,47560,24.0,26
888,Centre,Médical,Compliant,3,1.0,6,62334,21.0,10
890,Nord,Universitaire,Compliant,1,1.0,3,20960,71.59999847,86
894,Centre,Universitaire,Compliant,1,1.0,3,28800,24.89999962,106
895,Centre,Universitaire,Compliant,1,1.0,2,21600,58.40000153,59
896,Centre,Universitaire,Compliant,1,1.0,3,22860,40.70000076,21
900,Nord,Autre,Compliant,2,1.0,1,26366,33.70000076,44
904,Sud,Autre,Compliant,1,1.0,2,21732,39.59999847,51
911,Nord,Autre,Compliant,4,1.0,1,21060,14.30000019,71
912,Nord,Autre,Compliant,5,1.0,4,20539,81.0,56
921,Nord,Supermarché,Compliant,1,1.0,3,32960,24.70000076,116
922,Nord,Autre,Compliant,2,1.0,3,29636,23.20000076,95
923,Nord,Détente,Compliant,1,1.0,3,20571,34.79999924,86
932,Nord,Autre,Compliant,2,1.0,2,47992,63.29999924,90
934,Nord,Universitaire,Compliant,2,1.0,3,28572,123.5,23
952,Centre,Universitaire,Compliant,2,0.0,15,115775,16.5,34
953,Nord,Autre,Compliant,1,1.0,2,31386,37.59999847,16
963,Nord,Bureau,Compliant,1,1.0,2,84116,48.0,4
964,Centre,Détente,Compliant,2,1.0,9,104000,83.59999847,91
966,Sud,Médical,Compliant,2,1.0,3,78374,56.59999847,35
968,Nord,Autre,Compliant,2,1.0,2,38784,54.70000076,9
972,Sud,Autre,Compliant,2,1.0,2,41790,52.09999847,47
973,Centre,Bureau,Compliant,2,1.0,5,39960,54.5,116
974,Centre,Industriel,Compliant,2,1.0,5,33300,3.0,116
975,Centre,Détente,Compliant,1,1.0,11,36240,59.29999924,90
976,Centre,Autre,Compliant,1,1.0,3,39320,77.40000153,94
978,Centre,Autre,Compliant,1,1.0,5,41536,65.90000153,108
980,Centre,Détente,Compliant,1,1.0,6,35820,92.69999695,107
982,Sud,Universitaire,Compliant,1,1.0,2,33462,68.90000153,94
983,Sud,Universitaire,Compliant,1,1.0,3,49744,42.20000076,51
984,Sud,Autre,Compliant,2,1.0,2,37816,37.0,93
985,Sud,Autre,Compliant,3,0.0,2,23315,81.30000305,90
986,Sud,Autre,Compliant,4,1.0,2,20700,206.1000061,86
989,Sud,Autre,Compliant,3,1.0,1,41521,116.0,68
990,Sud,Supermarché,Compliant,1,1.0,2,25762,74.0,70
992,Sud,Autre,Compliant,2,1.0,1,33334,122.4000015,32
993,Sud,Bureau,Compliant,1,1.0,3,43387,59.70000076,35
1000,Nord,Autre,Compliant,3,1.0,1,39350,6.5,37
1002,Nord,Autre,Compliant,2,0.0,1,22405,189.1000061,67
1010,Sud,Industriel,Compliant,1,1.0,1,37500,29.5,31
1011,Centre,Médical,Compliant,1,1.0,2,39000,67.09999847,26
1012,Sud,Autre,Compliant,2,1.0,1,22180,229.3999939,92
1017,Sud,Supermarché,Compliant,3,1.0,1,25920,47.09999847,47
1018,Sud,Industriel,Compliant,1,1.0,1,25480,29.10000038,63
1019,Sud,Industriel,Compliant,1,1.0,2,31000,74.19999695,46
1020,Sud,Bureau,Compliant,2,1.0,1,29740,48.90000153,55
1021,Sud,Supermarché,Compliant,3,1.0,1,23236,18.70000076,62
1022,Sud,Bureau,Compliant,3,1.0,3,38075,50.5,7
1024,Sud,Bureau,Compliant,1,1.0,2,39170,60.0,46
1025,Sud,Autre,Compliant,1,0.0,1,36070,21.60000038,39
1027,Sud,Autre,Compliant,1,1.0,2,20047,5.900000095,53
1030,Sud,Supermarché,Compliant,1,1.0,1,20000,27.89999962,102
1031,Sud,Industriel,Compliant,1,1.0,2,32400,7.599999905,61
1033,Centre,Supermarché,Compliant,2,1.0,1,25159,344.1000061,54
1035,Centre,Autre,Compliant,4,1.0,1,27247,90.40000153,68
1041,Sud,Supermarché,Compliant,1,1.0,1,26680,7.199999809,61
1042,Sud,Industriel,Compliant,1,1.0,1,31521,56.70000076,63
1043,Sud,Industriel,Compliant,2,1.0,1,24000,52.40000153,65
1044,Sud,Industriel,Compliant,1,1.0,1,21900,60.90000153,64
1046,Sud,Industriel,Compliant,3,1.0,1,38005,19.79999924,55
1047,Sud,Supermarché,Compliant,1,1.0,1,35579,30.79999924,18
1049,Sud,Supermarché,Compliant,1,1.0,1,49950,4.800000191,41
1054,Centre,Autre,Compliant,1,1.0,2,22612,32.29999924,69
1058,Nord,Autre,Compliant,2,1.0,2,38787,82.59999847,40
1059,Nord,Industriel,Compliant,1,2.0,2,50368,15.0,28
1060,Sud,Industriel,Compliant,2,1.0,1,30545,51.59999847,78
1071,Centre,Universitaire,Compliant,1,1.0,3,32691,29.0,94
1073,Centre,Autre,Compliant,1,1.0,2,24227,41.5,53
1081,Sud,Supermarché,Compliant,1,1.0,1,27000,24.10000038,60
1093,Centre,Bureau,Compliant,2,1.0,2,21183,25.89999962,59
1094,Nord,Bureau,Compliant,2,1.0,3,29392,25.70000076,55
1096,Nord,Bureau,Compliant,3,1.0,5,137738,57.20000076,31
1104,Nord,Universitaire,Compliant,1,1.0,3,21118,64.5,28
1105,Nord,Bureau,Compliant,4,1.0,5,206126,32.0,3
1106,Nord,Bureau,Compliant,1,1.0,2,20500,64.69999695,116
1109,Nord,Médical,Compliant,2,1.0,2,34636,337.5,50
1110,Nord,Autre,Compliant,1,1.0,2,25521,23.70000076,86
1111,Nord,Universitaire,Compliant,1,1.0,1,23190,73.5,30
1115,Nord,Bureau,Compliant,1,1.0,1,20678,33.29999924,56
1116,Nord,Universitaire,Compliant,1,1.0,3,28820,76.80000305,94
1119,Sud,Autre,Compliant,1,1.0,2,27876,40.79999924,62
1123,Sud,Médical,Compliant,2,1.0,2,48882,161.8000031,50
1124,Sud,Industriel,Compliant,1,1.0,1,22320,19.70000076,39
1125,Sud,Autre,Compliant,1,1.0,1,47105,225.8000031,40
1126,Sud,Bureau,Compliant,2,1.0,2,40029,36.79999924,34
1127,Sud,Bureau,Compliant,1,1.0,2,28304,46.70000076,46
1128,Sud,Autre,Compliant,2,1.0,1,26400,16.29999924,46
1129,Sud,Industriel,Compliant,2,1.0,1,27680,64.19999695,48
1130,Sud,Bureau,Compliant,2,1.0,2,25872,69.09999847,47
1131,Sud,Bureau,Compliant,1,1.0,2,25872,96.0,47
1132,Sud,Industriel,Compliant,1,1.0,1,20500,10.39999962,47
1133,Nord,Bureau,Compliant,1,1.0,2,21436,24.89999962,58
1134,Nord,Autre,Compliant,3,1.0,1,20233,31.10000038,18
1136,Nord,Bureau,Compliant,4,1.0,4,39926,36.70000076,10
1139,Nord,Bureau,Compliant,2,1.0,3,31417,42.79999924,31
1142,Centre,Industriel,Compliant,1,1.0,6,46580,15.19999981,88
1144,Centre,Supermarché,Compliant,1,1.0,2,25920,18.5,100
1146,Centre,Supermarché,Compliant,1,1.0,2,25920,26.0,97
1147,Centre,Détente,Compliant,1,1.0,8,61721,52.20000076,106
1150,Centre,Bureau,Compliant,1,1.0,2,25920,74.80000305,97
1154,Centre,Bureau,Compliant,1,1.0,4,39760,62.29999924,91
1155,Centre,Autre,Compliant,1,1.0,3,30971,91.19999695,96
1156,Centre,Bureau,Compliant,1,1.0,3,22667,166.1999969,70
1158,Nord,Industriel,Compliant,3,1.0,2,33840,65.80000305,89
1159,Nord,Autre,Compliant,5,5.0,3,41827,100.3000031,15
1161,Nord,Bureau,Compliant,3,1.0,5,33740,52.29999924,15
1162,Nord,Supermarché,Compliant,2,1.0,2,20516,56.29999924,105
1163,Nord,Supermarché,Compliant,2,1.0,3,27480,39.29999924,110
1165,Nord,Autre,Compliant,4,1.0,1,46958,38.70000076,69
1166,Nord,Supermarché,Compliant,1,1.0,1,26532,72.90000153,32
1167,Nord,Bureau,Compliant,2,1.0,2,22388,25.70000076,35
1168,Nord,Autre,Compliant,1,1.0,1,30730,99.30000305,47
1169,Nord,Bureau,Compliant,2,1.0,2,35600,59.0,30
1171,Nord,Autre,Compliant,2,1.0,3,62000,28.89999962,67
1172,Nord,Bureau,Compliant,1,1.0,2,23600,32.90000153,35
1174,Nord,Bureau,Compliant,1,1.0,3,40067,57.5,30
1175,Nord,Bureau,Compliant,1,1.0,3,26419,40.70000076,27
1176,Nord,Bureau,Compliant,1,1.0,3,25262,58.20000076,37
1177,Nord,Autre,Compliant,1,0.0,3,53103,126.0,20
1178,Nord,Bureau,Compliant,1,1.0,3,34106,49.5,36
1179,Nord,Bureau,Compliant,1,1.0,3,34545,67.0,36
1180,Nord,Bureau,Compliant,1,1.0,3,70296,39.59999847,36
1181,Centre,Bureau,Compliant,1,1.0,4,27838,43.70000076,114
1182,Sud,Supermarché,Compliant,2,2.0,2,28368,41.5,45
1189,Nord,Autre,Compliant,1,1.0,2,92080,56.0,52
1191,Nord,Autre,Compliant,1,1.0,1,20236,97.09999847,55
1192,Nord,Bureau,Compliant,2,1.0,2,39815,51.5,65
1194,Nord,Autre,Compliant,1,1.0,4,25557,89.19999695,46
1195,Nord,Autre,Compliant,2,1.0,2,26994,114.0,58
1196,Nord,Industriel,Compliant,1,1.0,1,48112,30.89999962,44
1197,Nord,Autre,Compliant,2,1.0,1,20909,63.40000153,7
1198,Nord,Bureau,Compliant,2,1.0,2,42793,67.40000153,15
1201,Nord,Autre,Compliant,1,1.0,2,45000,131.3999939,9
1203,Nord,Supermarché,Compliant,1,1.0,1,26115,64.69999695,18
1205,Nord,Autre,Compliant,2,1.0,1,26033,38.20000076,67
1207,Centre,Universitaire,Compliant,1,1.0,4,48660,38.0,9
1208,Nord,Médical,Compliant,1,1.0,2,46539,116.0,46
1210,Centre,Universitaire,Compliant,1,1.0,4,29796,75.0,107
1211,Centre,Supermarché,Compliant,3,1.0,2,26400,45.5,96
1212,Centre,Bureau,Compliant,2,1.0,3,38148,25.10000038,98
1214,Centre,Autre,Compliant,2,1.0,2,28800,15.89999962,88
1215,Centre,Autre,Compliant,2,1.0,5,31945,56.5,61
1220,Centre,Bureau,Compliant,2,1.0,5,85963,84.69999695,31
1226,Centre,Supermarché,Compliant,1,1.0,4,34680,33.70000076,116
1227,Centre,Autre,Compliant,1,1.0,3,75058,74.40000153,48
1229,Centre,Bureau,Non-Compliant,1,1.0,3,57720,1.0,113
1230,Centre,Supermarché,Compliant,1,1.0,1,36504,129.6999969,101
1231,Centre,Bureau,Compliant,1,1.0,6,35200,85.19999695,109
1232,Centre,Bureau,Compliant,1,1.0,5,35840,42.90000153,109
1233,Centre,Autre,Compliant,1,1.0,2,25920,57.40000153,75
1234,Centre,Bureau,Compliant,2,1.0,4,30525,132.8000031,88
1237,Centre,Autre,Compliant,1,1.0,4,49243,162.1000061,52
1244,Centre,Autre,Compliant,1,0.0,3,20411,98.69999695,104
